Dataset,Metric,Comparison,Test Type,P-value,Significance,Mean_Diff (OPNs - Base),95% CI Lower,95% CI Upper
cleveland,F1,OPNs vs KKM(l),Paired t-test,0.057295297047791245,ns (Not Significant),0.028319296957209916,-0.00108473708736374,0.057723331001783576
cleveland,F1,OPNs vs KKM(r),Paired t-test,0.049418899433072,* (p<0.05),0.031341245924868685,9.876749843959823e-05,0.06258372435129778
cleveland,F1,OPNs vs TDEC,Paired t-test,6.279284083101498e-09,** (p<0.01),-0.41251866197173526,-0.45726865893433444,-0.3677686650091361
cleveland,F1,OPNs vs ZEUS,Paired t-test,0.0024628177530743797,** (p<0.01),-0.06068480827173524,-0.09371732527793869,-0.027652291265531793
cleveland,F1,OPNs vs IDC,Paired t-test,0.09081393006265215,ns (Not Significant),-0.048694661964192934,-0.10686724141779357,0.009477917489407697
wine,F1,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.7475944070939511,0.6299944228918435,0.8651943912960587
wine,F1,OPNs vs MDK,Wilcoxon test,0.00390625,** (p<0.01),0.6270393938860711,0.37098521261310596,0.8830935751590363
wine,F1,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.6831037524531522,0.48731864488564824,0.8788888600206562
wine,F1,OPNs vs KKM(p),Paired t-test,5.4284636021672785e-05,** (p<0.01),-0.01191862533025364,-0.015695093309178506,-0.008142157351328776
wine,F1,OPNs vs KKM(l),Paired t-test,6.915784735873916e-08,** (p<0.01),-0.015855417509511527,-0.01811582946003021,-0.013595005558992845
wine,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),-0.02005421186977152,-0.02213666165483332,-0.01797176208470972
wine,F1,OPNs vs TDEC,Paired t-test,1.5424575781828135e-07,** (p<0.01),0.2869116723520085,0.2420533280914719,0.33177001661254507
wine,F1,OPNs vs ZEUS,Wilcoxon test,0.001953125,** (p<0.01),0.4779382673520085,0.4168542010907268,0.5390223336132902
wine,F1,OPNs vs IDC,Wilcoxon test,0.013671875,* (p<0.05),-0.03603386311597181,-0.05680326116808168,-0.015264465063861934
vowel,F1,OPNs vs EDK,Paired t-test,1.8381204581105994e-10,** (p<0.01),0.32143641474054746,0.2980025515541295,0.3448702779269654
vowel,F1,OPNs vs MDK,Paired t-test,1.942226966578864e-09,** (p<0.01),0.3423391231492921,0.30981181437507355,0.37486643192351066
vowel,F1,OPNs vs CDK,Paired t-test,3.023928726757447e-09,** (p<0.01),0.3317969023009065,0.2986569942070682,0.36493681039474485
